FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
3331,Környezet- és foglalkozás-egészségügyi kiegészítõ foglalkozású,359406,416931,463654,530870,581915
3332,"Fizioterápiás asszisztens, masszõr",233438,289127,316910,360687,398254
3333,Fogtechnikus,216643,233023,247721,299087,354175
3334,Ortopédiai eszközkészítõ,279658,303078,317786,374329,413019
3335,Látszerész,224091,239763,256446,310652,359240
3339,"Egyéb, humánegészségügyhöz kapcsolódó foglalkozású",367642,442346,503060,601473,654855
3341,Állatorvosi asszisztens,282311,300945,309368,347911,406039
3342,Növényorvosi (növényvédelmi) asszisztens,296521,327101,382247,431167,512072
3410,Oktatási asszisztens,239836,254870,265986,312589,366125
3511,Szociális segítõ,248882,283406,294222,351680,399995
3513,"Szociális gondozó, szakgondozó",254385,290597,303632,362574,412764
3514,Jelnyelvi tolmács,353147,315945,319621,405501,480277
3515,Ifjúságsegítõ,260328,288441,301593,366558,420295
3520,Munkaerõ-piaci szolgáltatási ügyintézõ,358193,386534,422134,489445,564540
3611,Pénzügyi ügyintézõ (a pénzintézeti ügyintézõ kivételével),379952,410209,440422,503729,570740
3612,Pénzintézeti ügyintézõ,478133,499109,528557,612102,714415
3613,"Tõzsde- és pénzügyi ügynök, bróker",1011971,1098318,1175577,1311910,1612064
3614,Számviteli ügyintézõ,418913,450386,481338,548203,625012
3615,Statisztikai ügyintézõ,430887,450530,478999,564193,624867
3616,"Értékbecslõ, kárbecslõ, kárszakértõ",327887,368082,402323,470916,555041
3621,"Biztosítási ügynök, ügyintézõ",422004,465772,487992,541965,610348
3622,Kereskedelmi ügyintézõ,390453,429826,462887,535887,610462
3623,"Anyaggazdálkodó, felvásárló",422186,460175,501617,579376,679179
3624,Ügynök (a biztosítási ügynök kivételével),508407,550385,586788,683036,763992
3631,Konferencia- és rendezvényszervezõ,326149,349900,394170,456453,523768
3632,Marketing- és PR-ügyintézõ,416561,455679,481801,544838,621248
3633,"Ingatlanügynök, ingatlanforgalmazási ügyintézõ",386325,436296,468275,545376,652957
3639,"Egyéb, máshova nem sorolható üzleti jellegû szolgáltatás ügyintézõje",416835,447247,484986,556036,637113
3641,Személyi asszisztens,381627,417852,448761,510391,585890
3642,Jogi asszisztens,334195,386184,408539,454270,495723
3649,Egyéb igazgatási és jogi asszisztens,365799,382293,415256,494912,531950
3651,Vám- és pénzügyõr,559753,510243,563067,825537,634074
3652,Adó- és illetékhivatali ügyintézõ,504391,509690,557208,599702,627484
3653,Társadalombiztosítási és segélyezési hatósági ügyintézõ,337560,377062,382147,436840,480594
3654,Hatósági engedélyek kiadásával foglalkozó ügyintézõ,388317,437227,436035,469625,515185
3655,Nyomozó,662946,615299,690708,964453,710193
3656,"Végrehajtó, adósságbehajtó",466937,471024,535841,590204,624866
3659,Egyéb hatósági ügyintézõ,432235,461931,461597,721353,634941
3711,"Segédszínész, statiszta",291471,300550,311482,378052,498157
3712,Segédrendezõ,368727,386749,414026,487399,571928
3713,Fényképész,279531,322423,355023,394146,457281
3714,"Díszletezõ, díszítõ",318370,338107,373335,447260,514934
3715,Kiegészítõ filmgyártási és színházi foglalkozású,392255,421647,457239,537260,604591
3716,"Lakberendezõ, dekoratõr",249985,274075,297865,351378,407343
3717,Kulturális intézményi szaktechnikus,259520,282132,316104,370707,411927
3719,Egyéb mûvészeti és kulturális foglalkozású,318762,345669,387166,444819,506674
3721,Sportoló,1008145,1156963,1336563,1409403,1520933
3722,Fitnesz- és rekreációs program irányítója,231528,245243,262894,313745,361081
3910,Egyéb ügyintézõ,341225,365395,389731,443705,500081
4111,Titkár(nõ),327752,351074,372890,422803,484730
4112,Általános irodai adminisztrátor,254565,280472,304246,355564,412568
4113,"Gépíró, szövegszerkesztõ",330785,339350,373719,438771,482986
4114,"Adatrögzítõ, kódoló",279162,313104,338263,390680,460076
4121,Könyvelõ (analitikus),380019,416765,452577,526053,604754
4122,Bérelszámoló,362300,394974,431642,495578,574913
4123,"Pénzügyi, statisztikai, biztosítási adminisztrátor ",308389,339452,368673,429202,493575
4129,Egyéb számviteli foglalkozású,410357,458447,490049,586482,695532
4131,Készlet- és anyagnyilvántartó,321042,348266,374657,437458,504719
4132,"Szállítási, szállítmányozási nyilvántartó",377677,407144,447800,520486,612136
4133,"Könyvtári, levéltári nyilvántartó",188707,285448,315850,357665,392974
4134,Humánpolitikai adminisztrátor,425833,457117,496665,573049,656001
4136,"Iratkezelõ, irattáros",277988,287967,308878,355817,411844
4190,"Egyéb, máshova nem sorolható irodai, ügyviteli foglalkozású",329528,358769,378038,466938,528482
4211,Banki pénztáros,305615,320686,335415,397809,459672
4212,Szerencsejáték-szervezõ,326912,337899,384762,514289,601069
4221,"Utazásszervezõ, tanácsadó",315537,313963,332524,426291,516912
4222,Recepciós,253069,274771,298863,348257,404030
4223,Szállodai recepciós,272104,280929,305852,377279,442535
4224,Ügyfél- (vevõ)tájékoztató,325572,358288,378846,437226,516636
4225,Ügyfélszolgálati központ tájékoztatója,366121,400015,414476,465644,525126
4226,"Lakossági kérdezõ, összeíró",195746,220236,236459,239225,255573
4229,Egyéb ügyfélkapcsolati foglalkozású,373884,408211,430122,497772,558701
5111,Kereskedõ,319301,338795,374763,450539,518035
5112,Vezetõ eladó,277944,327166,353265,412580,473508
5113,Bolti eladó,235940,256163,273674,320376,369720
5114,Kölcsönzõ,312472,307923,344836,415085,497817
5115,"Piaci, utcai árus",186466,202950,211529,244541,284231
5116,"Piaci, utcai étel- és italárus",191582,209675,220261,260417,303085
5117,"Bolti pénztáros, jegypénztáros",265874,285152,301265,342797,394920
5121,Üzemanyagtöltõ állomás kezelõje,256062,262914,275418,329553,378931
5122,Áru- és divatbemutató,298657,340734,387216,431324,473971
